Mar 24, 2015 09:44:17.487094000 Eastern Summer Time	192.168.122.200	224.0.0.22	60	eth:ethertype:ip:igmp:igmp
Mar 24, 2015 09:44:17.487546000 Eastern Summer Time	192.168.122.200	224.0.0.22	60	eth:ethertype:ip:igmp:igmp
Mar 24, 2015 09:44:17.488136000 Eastern Summer Time	192.168.122.200	224.0.0.252	71	eth:ethertype:ip:udp:llmnr
Mar 24, 2015 09:44:17.517945000 Eastern Summer Time	192.168.122.200	224.0.0.252	64	eth:ethertype:ip:udp:llmnr
Mar 24, 2015 09:44:17.533482000 Eastern Summer Time	192.168.122.200	192.168.122.255	92	eth:ethertype:ip:udp:nbns
Mar 24, 2015 09:44:17.595949000 Eastern Summer Time	192.168.122.200	224.0.0.252	71	eth:ethertype:ip:udp:llmnr
Mar 24, 2015 09:44:17.721509000 Eastern Summer Time	192.168.122.200	192.168.122.255	92	eth:ethertype:ip:udp:nbns
Mar 24, 2015 09:44:17.730200000 Eastern Summer Time	192.168.122.200	192.168.122.2	85	eth:ethertype:ip:udp:dns
Mar 24, 2015 09:44:17.792132000 Eastern Summer Time	192.168.122.2	192.168.122.200	150	eth:ethertype:ip:udp:dns
Mar 24, 2015 09:44:17.795281000 Eastern Summer Time	192.168.122.200	192.168.122.2	85	eth:ethertype:ip:udp:dns
Mar 24, 2015 09:44:17.801902000 Eastern Summer Time	192.168.122.200	224.0.0.22	60	eth:ethertype:ip:igmp:igmp
Mar 24, 2015 09:44:17.802383000 Eastern Summer Time	192.168.122.200	224.0.0.22	60	eth:ethertype:ip:igmp:igmp
Mar 24, 2015 09:44:17.803101000 Eastern Summer Time	192.168.122.200	224.0.0.252	71	eth:ethertype:ip:udp:llmnr
Mar 24, 2015 09:44:17.859304000 Eastern Summer Time	192.168.122.2	192.168.122.200	150	eth:ethertype:ip:udp:dns
Mar 24, 2015 09:44:17.892024000 Eastern Summer Time	192.168.122.200	224.0.0.22	60	eth:ethertype:ip:igmp:igmp
Mar 24, 2015 09:44:17.907870000 Eastern Summer Time	192.168.122.200	224.0.0.252	71	eth:ethertype:ip:udp:llmnr
Mar 24, 2015 09:44:18.111921000 Eastern Summer Time	192.168.122.200	224.0.0.22	60	eth:ethertype:ip:igmp:igmp
Mar 24, 2015 09:44:18.117427000 Eastern Summer Time	192.168.122.200	224.0.0.22	60	eth:ethertype:ip:igmp:igmp
Mar 24, 2015 09:44:18.119040000 Eastern Summer Time	192.168.122.200	224.0.0.252	71	eth:ethertype:ip:udp:llmnr
Mar 24, 2015 09:44:18.220062000 Eastern Summer Time	192.168.122.200	224.0.0.252	71	eth:ethertype:ip:udp:llmnr
Mar 24, 2015 09:44:18.297810000 Eastern Summer Time	192.168.122.200	192.168.122.255	92	eth:ethertype:ip:udp:nbns
Mar 24, 2015 09:44:18.391369000 Eastern Summer Time	192.168.122.200	224.0.0.22	60	eth:ethertype:ip:igmp:igmp
Mar 24, 2015 09:44:18.422968000 Eastern Summer Time	192.168.122.200	224.0.0.22	60	eth:ethertype:ip:igmp:igmp
Mar 24, 2015 09:44:18.423440000 Eastern Summer Time	192.168.122.200	224.0.0.22	60	eth:ethertype:ip:igmp:igmp
Mar 24, 2015 09:44:18.424062000 Eastern Summer Time	192.168.122.200	224.0.0.252	71	eth:ethertype:ip:udp:llmnr
Mar 24, 2015 09:44:18.484996000 Eastern Summer Time	192.168.122.200	192.168.122.255	92	eth:ethertype:ip:udp:nbns
Mar 24, 2015 09:44:18.532113000 Eastern Summer Time	192.168.122.200	224.0.0.252	71	eth:ethertype:ip:udp:llmnr
Mar 24, 2015 09:44:18.890581000 Eastern Summer Time	192.168.122.200	224.0.0.22	60	eth:ethertype:ip:igmp:igmp
Mar 24, 2015 09:44:19.064184000 Eastern Summer Time	192.168.122.200	224.0.0.252	66	eth:ethertype:ip:udp:llmnr
Mar 24, 2015 09:44:19.172938000 Eastern Summer Time	192.168.122.200	224.0.0.252	66	eth:ethertype:ip:udp:llmnr
Mar 24, 2015 09:44:19.249362000 Eastern Summer Time	192.168.122.200	192.168.122.255	92	eth:ethertype:ip:udp:nbns
Mar 24, 2015 09:44:19.374829000 Eastern Summer Time	192.168.122.200	192.168.122.255	92	eth:ethertype:ip:udp:nbns
Mar 24, 2015 09:44:20.015592000 Eastern Summer Time	192.168.122.200	192.168.122.2	76	eth:ethertype:ip:udp:dns
Mar 24, 2015 09:44:20.099638000 Eastern Summer Time	192.168.122.2	192.168.122.200	181	eth:ethertype:ip:udp:dns
Mar 24, 2015 09:44:20.104339000 Eastern Summer Time	192.168.122.200	23.15.4.16	66	eth:ethertype:ip:tcp
Mar 24, 2015 09:44:20.138679000 Eastern Summer Time	192.168.122.200	192.168.122.255	92	eth:ethertype:ip:udp:nbns
Mar 24, 2015 09:44:20.170867000 Eastern Summer Time	23.15.4.16	192.168.122.200	66	eth:ethertype:ip:tcp
Mar 24, 2015 09:44:20.171223000 Eastern Summer Time	192.168.122.200	23.15.4.16	60	eth:ethertype:ip:tcp
Mar 24, 2015 09:44:20.173332000 Eastern Summer Time	192.168.122.200	23.15.4.16	151	eth:ethertype:ip:tcp:http
Mar 24, 2015 09:44:20.324821000 Eastern Summer Time	23.15.4.16	192.168.122.200	54	eth:ethertype:ip:tcp
Mar 24, 2015 09:44:20.568763000 Eastern Summer Time	23.15.4.16	192.168.122.200	233	eth:ethertype:ip:tcp:http:data-text-lines
Mar 24, 2015 09:44:20.568794000 Eastern Summer Time	23.15.4.16	192.168.122.200	54	eth:ethertype:ip:tcp
Mar 24, 2015 09:44:20.569126000 Eastern Summer Time	192.168.122.200	23.15.4.16	60	eth:ethertype:ip:tcp
Mar 24, 2015 09:44:20.569510000 Eastern Summer Time	192.168.122.200	23.15.4.16	60	eth:ethertype:ip:tcp
Mar 24, 2015 09:44:20.629953000 Eastern Summer Time	23.15.4.16	192.168.122.200	233	eth:ethertype:ip:tcp
Mar 24, 2015 09:44:20.694442000 Eastern Summer Time	23.15.4.16	192.168.122.200	54	eth:ethertype:ip:tcp
Mar 24, 2015 09:44:20.903000000 Eastern Summer Time	192.168.122.200	192.168.122.255	92	eth:ethertype:ip:udp:nbns
Mar 24, 2015 09:44:21.669090000 Eastern Summer Time	192.168.122.200	224.0.0.252	66	eth:ethertype:ip:udp:llmnr
Mar 24, 2015 09:44:21.777009000 Eastern Summer Time	192.168.122.200	224.0.0.252	66	eth:ethertype:ip:udp:llmnr
Mar 24, 2015 09:44:21.980011000 Eastern Summer Time	192.168.122.200	192.168.122.255	92	eth:ethertype:ip:udp:nbns
Mar 24, 2015 09:44:22.262184000 Eastern Summer Time	192.168.122.200	192.168.122.2	76	eth:ethertype:ip:udp:dns
Mar 24, 2015 09:44:22.326322000 Eastern Summer Time	192.168.122.2	192.168.122.200	92	eth:ethertype:ip:udp:dns
Mar 24, 2015 09:44:22.327151000 Eastern Summer Time	192.168.122.200	192.168.122.2	76	eth:ethertype:ip:udp:dns
Mar 24, 2015 09:44:22.386635000 Eastern Summer Time	192.168.122.2	192.168.122.200	104	eth:ethertype:ip:udp:dns
Mar 24, 2015 09:44:22.743866000 Eastern Summer Time	192.168.122.200	192.168.122.255	92	eth:ethertype:ip:udp:nbns
Mar 24, 2015 09:44:23.508213000 Eastern Summer Time	192.168.122.200	192.168.122.255	92	eth:ethertype:ip:udp:nbns
Mar 24, 2015 09:44:24.276499000 Eastern Summer Time	192.168.122.200	224.0.0.252	66	eth:ethertype:ip:udp:llmnr
Mar 24, 2015 09:44:24.382006000 Eastern Summer Time	192.168.122.200	224.0.0.252	66	eth:ethertype:ip:udp:llmnr
Mar 24, 2015 09:44:24.584773000 Eastern Summer Time	192.168.122.200	192.168.122.255	92	eth:ethertype:ip:udp:nbns
Mar 24, 2015 09:44:25.348974000 Eastern Summer Time	192.168.122.200	192.168.122.255	92	eth:ethertype:ip:udp:nbns
Mar 24, 2015 09:44:26.113402000 Eastern Summer Time	192.168.122.200	192.168.122.255	92	eth:ethertype:ip:udp:nbns
Mar 24, 2015 09:44:26.880295000 Eastern Summer Time	192.168.122.200	224.0.0.252	66	eth:ethertype:ip:udp:llmnr
Mar 24, 2015 09:44:26.987331000 Eastern Summer Time	192.168.122.200	224.0.0.252	66	eth:ethertype:ip:udp:llmnr
Mar 24, 2015 09:44:27.197375000 Eastern Summer Time	192.168.122.200	192.168.122.255	92	eth:ethertype:ip:udp:nbns
Mar 24, 2015 09:44:27.954214000 Eastern Summer Time	192.168.122.200	192.168.122.255	92	eth:ethertype:ip:udp:nbns
Mar 24, 2015 09:44:28.718618000 Eastern Summer Time	192.168.122.200	192.168.122.255	92	eth:ethertype:ip:udp:nbns
Mar 24, 2015 09:44:48.600299000 Eastern Summer Time	192.168.122.200	192.168.122.2	70	eth:ethertype:ip:udp:dns
